,coordinates,created_at,id,name,text
63,"0,0,0,0",Thu May 26 23:17:55 +0000 2016,735973269162078209,☆♡GaBy Portilla♡☆,@AMTQuito @BelenAizaga1 y que x hacer daño trata de hacer quedar mal a los agentes de transito que estan trabajando CUMPLIENDO LAS LEYES
64,"0,0,0,0",Wed Jun 01 14:47:07 +0000 2016,738019047992922112,AMT Quito,Gracias por el reporte estimado @JoseCaluguillin nos comunicaremos con el personal de la zona para que ayude a gestionar el transito.
65,"0,0,0,0",Fri May 20 21:51:52 +0000 2016,733777286651117568,Eduardo Ribadeneira,@AMTQuito ojala sea a todos q veo monton de autos sin  placas a vista y paciencia de los agentes de transito.
66,"0,0,0,0",Thu May 19 17:23:21 +0000 2016,733347321484808193,Jaime Llanes,Debe ver mas control para los buses q son un atentado para el pueblo y no se como pasan la revisión de transito  https://t.co/XXu9wGv0Mo
67,"0,0,0,0",Mon May 23 18:51:06 +0000 2016,734818957320937473,Danny Padilla,"@AMTQuito Semáforo incorrectamente programado, Av. 6 de Diciembre y Av. Juan Molineros nort/sur en rojo y no hay transito para oeste -este"
68,"0,0,0,0",Mon May 23 18:53:50 +0000 2016,734819647497867264,Danny Padilla,"@AMTQuito Semáforo de la Cap. Rafael Ramos y F Salazar no tiene adecuada programación, mucho tiempo en rojo sentido oeste-este sin transito"
69,"0,0,0,0",Thu May 26 20:04:10 +0000 2016,735924508322877444,R Castillo,"@AMTQuito buenas tardes, me pueden informar quien nos ayuda o a quien me dirijo para que sea respetada esta señal de transito?"
70,"0,0,0,0",Tue May 24 17:41:03 +0000 2016,735163716258299907,Fausto Miranda,"RT @AMTQuito: Dispositivo de Transito para el día de hoy, Martes 24 de Mayo. Sector ""Asamblea Nacional"". @24horasUIO @ecuavisa https://t.co…"
71,"0,0,0,0",Tue May 24 17:53:23 +0000 2016,735166822706745344,Ale J T,"RT @AMTQuito: Dispositivo de Transito para el día de hoy, Martes 24 de Mayo. Sector ""Asamblea Nacional"". @24horasUIO @ecuavisa https://t.co…"
72,"0,0,0,0",Sat Jun 04 01:30:59 +0000 2016,738905856591441920,Pau,@AMTQuito @ANT_ECUADOR buen dia por favor indicarme donde debo realizar el tramite de transferencia de multa de transito y los horarios
73,"[[[-78.948466, -0.588618], [-78.948466, 0.255477], [-78.164897, 0.255477], [-78.164897, -0.588618]]]",Thu May 12 17:23:19 +0000 2016,730810597906976768,Geovanny,"@QuitoVigila manera de asaltar los ""asaltantes de transito"" multan un bus por no tener cintas reflectivas y en la revisión no exigen ratas"
74,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Fri May 13 14:12:44 +0000 2016,731125025835761664,celso_coronel Flores,"@ATMGuayaquil Trailers todos los días parqueados zonas prohibidas. Coop 9 de Oct, alrededor del Colegio de la Comisión de Transito. Gracias"
75,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Mon May 16 04:50:20 +0000 2016,732070655403778048,Alfonso Mendoza Maga,"ESTE GRUPO TRAJO DURANTE LA DÉCADA DEL 90 EL GOMI JAPONES-BASURA, PARA LOS PERUANOS, CONGESTIONARON EN TRANSITO https://t.co/ST8cwNUUBp"
76,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Sun May 15 18:18:22 +0000 2016,731911617512804352,Alfonso Mendoza Maga,"TAXISTA: ELLOS TE VENDIERON BASURA EN LA DÉCADA DEL 90, CONTAMINARON EL AIRE Y SATURARON EL TRANSITO, QUIEN MIENTE? https://t.co/K5SKoXpp0y"
77,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Sun May 15 18:52:26 +0000 2016,731920189231505408,Alfonso Mendoza Maga,"TAXISTA Y CHÓFER DE COMBI, ELLOS DE VENDIERON GOMI-BASURA, CONTAMINARON AL AIRE Y SATURARON EL TRANSITO, TE MIENTEN! https://t.co/cFPQMiWOr4"
78,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:16:18 +0000 2016,737377115813863424,pedrolo,@rd_bui Detenido vehículo de pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaja q lo guarden
79,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:16:46 +0000 2016,737377233476538368,pedrolo,@Intavit Detenido vehículo de pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaja q lo guarden.
80,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:18:41 +0000 2016,737377715305734144,pedrolo,@martinsornoza Detenido vehículo de pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaj q lo guarden
81,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:19:57 +0000 2016,737378031367557121,pedrolo,@anita_moncayo Detenido vehículo de pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaj q lo guarden
82,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:20:25 +0000 2016,737378150183768064,pedrolo,@DefensoresRC Detenido vehículo de pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaja q lo guarden
83,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:20:51 +0000 2016,737378258849796096,pedrolo,@VaneLouMora Detenido vehículo de pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaja q lo guarden
